"","manganese","Bgal","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","0",0,0.988318562541956,0.988274647363542,0.0286686773274104,22505.1701539631,4.6626172468783e-259,1,572.65085916639,-1139.30171833278,-1128.52875739125,0.218623553881045,266,268
"2","0",0.2,0.985174133287469,0.985117329200448,0.0315764853011971,17343.3670876525,1.03405681147873e-240,1,536.578083722752,-1067.1561674455,-1056.43970534897,0.260236424657922,261,263
"3","0",5.9,0.981517704804572,0.981442877698517,0.0329687023327434,13117.1410543588,4.50322929156465e-216,1,497.325291776061,-988.650583552122,-978.098224862728,0.268473027375744,247,249
"4","0",95,0.980408560436466,0.980330506892388,0.0369762361116186,12560.7180560428,2.29223725699845e-216,1,476.274924126237,-946.549848252474,-935.949679786291,0.343177751282524,251,253
"5","0",137,0.979915423410292,0.979842122035877,0.03930913648334,13368.309001446,1.5108774274204e-234,1,502.594938253965,-999.189876507931,-988.32867391078,0.423387049832044,274,276
"6","0",177,0.988241051998747,0.98819860092293,0.0291928672488736,23279.5290339311,2.68467260110328e-269,1,591.058563931902,-1176.1171278638,-1165.22349251834,0.236065909004268,277,279
"7","0",307,0.990957274128975,0.990923278918934,0.0271211245196935,29149.9088524769,7.56596674585025e-274,1,587.522773496855,-1169.04554699371,-1158.27258605218,0.195657735126584,266,268
"8","0",405,0.961254869009724,0.961087141169939,0.0543705068772192,5731.0394639516,4.6478125447746e-165,1,348.872126383358,-691.744252766715,-681.391137406018,0.682871116177807,231,233
"9","0",714,0.984295002958192,0.984229565470518,0.0348923361785344,15041.7602805724,1.7351373329814e-218,1,469.649142470603,-933.298284941205,-922.831471762735,0.292194029759006,240,242
"10","0.25",0,0.984818935309472,0.984757967178185,0.0320483986810523,16153.0116557014,1.90032217489342e-228,1,508.417956583696,-1010.83591316739,-1000.25955435,0.255747864646899,249,251
"11","0.25",0.2,0.978875277833903,0.978786889875049,0.0366138030891697,11074.7582648813,3.38383719600165e-202,1,456.106510212744,-906.213020425489,-895.758629625017,0.320396367819946,239,241
"12","0.25",5.9,0.974586798775395,0.974475337366515,0.0396920268674432,8743.71505411338,8.03166774255627e-184,1,416.767648146732,-827.535296293465,-817.221058366695,0.359204195280849,228,230
"13","0.25",95,0.96766412737594,0.967524145243368,0.0456660115256546,6912.7688627002,3.93830266450799e-174,1,389.523068550235,-773.04613710047,-762.693021739773,0.481723844600742,231,233
"14","0.25",137,0.982829148918425,0.982757900573688,0.0334500488254407,13794.4137867166,1.01537230114635e-214,1,481.843668337379,-957.687336674757,-947.208152344736,0.269656289708272,241,243
"15","0.25",177,0.985717540778462,0.985663440554138,0.0325061116379282,18220.2117106754,1.34221467848191e-245,1,534.969152259889,-1063.93830451978,-1053.18781559343,0.278954885567806,264,266
"16","0.25",307,0.98776919717593,0.987722155626606,0.0318340639396681,20997.803248068,1.1636783831076e-250,1,532.413153424005,-1058.82630684801,-1048.12127333673,0.263485982997867,260,262
