"","manganese","strain","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"1","0","MG1363",0.982404203216648,0.982348695971275,0.0435040815077012,17698.6661220329,3.56627681120167e-280,1,548.395020959197,-1090.79004191839,-1079.49446861004,0.5999558191817,317,319
"2","0","NCDO712",0.955201057078978,0.955059735492477,0.060239672507596,6759.05982040367,7.70721881403656e-216,1,444.568053965673,-883.136107931346,-871.840534622992,1.1503353515917,317,319
"3","0.25","MG1363",0.971999557079767,0.971911227606832,0.0533114848740509,11004.2494853406,3.41061364947016e-248,1,483.543270761018,-961.086541522036,-949.790968213681,0.900950270973942,317,319
"4","0.25","NCDO712",0.961551511917311,0.96142983948667,0.0529260885693348,7902.78871596715,1.17797531856669e-225,1,484.337832641895,-962.67566528379,-951.389511135449,0.885169988994707,316,318
"5","0.5","MG1363",0.968624467563648,0.968525491120631,0.0588399349413363,9786.41420159348,2.33150405755373e-240,1,452.067857839433,-898.135715678867,-886.840142370512,1.09749772821652,317,319
"6","0.5","NCDO712",0.940083924669258,0.939894914967899,0.0714494733869797,4973.73371795687,8.03563405224095e-196,1,390.127709524932,-774.255419049864,-762.959845741509,1.61829363738672,317,319
"7","0.75","MG1363",0.894714231820409,0.894383144499089,0.113646888216757,2702.35123548294,1.70278923957973e-157,1,242.833722485584,-479.667444971168,-468.362481983787,4.10716563402995,318,320
"8","0.75","NCDO712",0.935192084329159,0.934988285852207,0.0799246647093785,4588.80801424198,5.17250904500268e-191,1,355.477456772096,-704.954913544191,-693.64995055681,2.03136874519229,318,320
"9","1","MG1363",0.873249858001703,0.872850015282466,0.125360634719592,2183.98339143683,3.14507731545121e-144,1,210.78459293786,-415.569185875721,-404.273612567366,4.98174652972378,317,319
"10","1","NCDO712",0.935026652667999,0.934821689427204,0.0769552162608051,4561.92363587477,3.04857699051379e-190,1,366.447346900719,-726.894693801437,-715.599120493083,1.87730738318989,317,319
"11","1.5","NCDO712",0.926470661036524,0.92623870728585,0.0838021042476595,3994.20426850923,1.00359613113521e-181,1,339.257550372747,-672.515100745495,-661.21952743714,2.22622527839838,317,319
"12","2","NCDO712",0.928087065346169,0.927860210662719,0.0848134283352225,4091.10824264023,2.95855427727501e-183,1,335.430901100305,-664.86180220061,-653.566228892255,2.28028168743373,317,319
