"","manganese","Bgal","term","estimate","std.error","statistic","p.value"
"1","0",0,"(Intercept)",-2.08132257503268,0.0109062858428569,-190.836972826624,1.32842450822947e-286
"2","0",0,"lacY",-140.377038369911,0.935739419377632,-150.017232856639,4.66261724687671e-259
"3","0",0.2,"(Intercept)",-2.10644541908207,0.0122669183401796,-171.717570841124,1.90806950372171e-270
"4","0",0.2,"lacY",-140.866688637659,1.06964975868232,-131.69421812537,1.03405681147838e-240
"5","0",5.9,"(Intercept)",-2.19095312057766,0.0134929044129628,-162.378169556496,5.06751996715451e-253
"6","0",5.9,"lacY",-141.592495463341,1.23629081188822,-114.530087987213,4.50322929156337e-216
"7","0",95,"(Intercept)",-1.9375714124512,0.0158848044407485,-121.976409572966,1.98272612239301e-225
"8","0",95,"lacY",-160.196551892477,1.4293741718387,-112.074609328085,2.29223725699818e-216
"9","0",137,"(Intercept)",-1.933046047304,0.0153903818823212,-125.600915044511,3.2333139325864e-244
"10","0",137,"lacY",-149.329774512264,1.29154092312936,-115.62140373411,1.51087742741971e-234
"11","0",177,"(Intercept)",-2.04662162759268,0.0109580770838084,-186.768318194873,2.181282269621e-293
"12","0",177,"lacY",-139.214818512336,0.91242750933543,-152.576305611098,2.68467260110236e-269
"13","0",307,"(Intercept)",-1.8114706041958,0.01106524042454,-163.708201059815,4.86714731431994e-269
"14","0",307,"lacY",-161.275360045243,0.944603215389871,-170.73344386053,7.56596674585284e-274
"15","0",405,"(Intercept)",-1.64615812732756,0.0270203286952654,-60.9229497499044,2.61134835296555e-144
"16","0",405,"lacY",-190.975439140908,2.52267218001724,-75.7036291332958,4.64781254477487e-165
"17","0",714,"(Intercept)",-1.55367488376767,0.0174576085731835,-88.9970053604171,8.65680224258286e-186
"18","0",714,"lacY",-195.298272695457,1.59238863992384,-122.644854276779,1.7351373329812e-218
"19","0.25",0,"(Intercept)",-2.05323019973051,0.0130873593948654,-156.886514519962,6.12813793014124e-251
"20","0.25",0,"lacY",-150.288782655268,1.18249636241126,-127.094498919904,1.90032217489256e-228
"21","0.25",0.2,"(Intercept)",-2.12919051252207,0.0151532535433796,-140.510452519439,1.01527947102894e-231
"22","0.25",0.2,"lacY",-149.974558732609,1.42511681738601,-105.236677374769,3.38383719600108e-202
"23","0.25",5.9,"(Intercept)",-2.15814553888929,0.0167462154222824,-128.873628128399,5.46456528556362e-215
"24","0.25",5.9,"lacY",-153.435625748128,1.64088524864453,-93.5078341857694,8.03166774256038e-184
"25","0.25",95,"(Intercept)",-2.05066017345394,0.0200956242107512,-102.045109519755,3.89041252225059e-194
"26","0.25",95,"lacY",-161.56513291029,1.9432184455194,-83.1430626252138,3.93830266450643e-174
"27","0.25",137,"(Intercept)",-2.03174267136061,0.0143676102764823,-141.411315609408,7.12041789924343e-234
"28","0.25",137,"lacY",-156.349744843613,1.33120687606122,-117.449622335351,1.01537230114658e-214
"29","0.25",177,"(Intercept)",-1.91410990797229,0.0133220497718306,-143.679834616717,1.15937253892088e-252
"30","0.25",177,"lacY",-154.992456750292,1.14824312219597,-134.982264430092,1.34221467848206e-245
"31","0.25",307,"(Intercept)",-1.72916670793038,0.0135993390525176,-127.150790288611,4.1718007686249e-236
"32","0.25",307,"lacY",-172.186898826771,1.18826463866771,-144.906187749412,1.16367838310773e-250
